premises_en	hypothesis_en	gold	content-type	conversion	figure	image_id	mood	premise1_logic	premise2_logic	premise1_ascii	premise2_ascii
All B are A. Some C are B.	No C are A.	contradiction	symbolic	no	1	euler_1_AI1	AIE	B ⊆ A	C ∩ B ≠ ∅	"B:                                 ------
A:                          ---------------"	"C:                        -----x----
B:                           --x---------"
No A are B. Some C are B.	All C are A.	contradiction	symbolic	no	2	euler_1_EI2	EIA	A ∩ B = ∅	C ∩ B ≠ ∅	"A:                      -------
B:                                    --------"	"C:                        -----x----
B:                           --x---------"
All A are B. Some C are not B.	Some C are not A.	entailment	symbolic	no	2	euler_1_AO2	AOO	A ⊆ B	C \ B ≠ ∅	"A:                                 ------
B:                          ---------------"	"C:                        --x-------
B:                                 -----------"
Some B are A. All B are C.	Some C are A.	entailment	symbolic	no	3	euler_1_IA3	IAI	B ∩ A ≠ ∅	B ⊆ C	"B:                        -----x----
A:                           --x---------"	"B:                                 ------
C:                          ---------------"
No A are B. Some B are C.	Some C are not A.	entailment	symbolic	no	4	euler_1_EI4	EIO	A ∩ B = ∅	B ∩ C ≠ ∅	"A:                      -------
B:                                    --------"	"B:                        -----x----
C:                           --x---------"
All B are A. Some B are C.	Some C are A.	entailment	symbolic	no	3	euler_1_AI3	AII	B ⊆ A	B ∩ C ≠ ∅	"B:                                 ------
A:                          ---------------"	"B:                        -----x----
C:                           --x---------"
Some B are not A. All B are C.	Some C are not A.	entailment	symbolic	no	3	euler_1_OA3	OAO	B \ A ≠ ∅	B ⊆ C	"B:                        --x-------
A:                                 -----------"	"B:                                 ------
C:                          ---------------"
No B are A. Some C are B.	Some C are not A.	entailment	symbolic	no	1	euler_1_EI1	EIO	B ∩ A = ∅	C ∩ B ≠ ∅	"B:                      -------
A:                                    --------"	"C:                        -----x----
B:                           --x---------"
All A are B. No C are B.	No C are A.	entailment	symbolic	no	2	euler_1_AE2	AEE	A ⊆ B	C ∩ B = ∅	"A:                                 ------
B:                          ---------------"	"C:                      -------
B:                                    --------"
No B are A. Some B are C.	Some C are not A.	entailment	symbolic	no	3	euler_1_EI3	EIO	B ∩ A = ∅	B ∩ C ≠ ∅	"B:                      -------
A:                                    --------"	"B:                        -----x----
C:                           --x---------"
No B are A. All C are B.	No C are A.	entailment	symbolic	no	1	euler_1_EA1	EAE	B ∩ A = ∅	C ⊆ B	"B:                      -------
A:                                    --------"	"C:                                 ------
B:                          ---------------"
All A are B. No B are C.	No C are A.	entailment	symbolic	no	4	euler_1_AE4	AEE	A ⊆ B	B ∩ C = ∅	"A:                                 ------
B:                          ---------------"	"B:                      -------
C:                                    --------"
No A are B. All C are B.	No C are A.	entailment	symbolic	no	2	euler_1_EA2	EAE	A ∩ B = ∅	C ⊆ B	"A:                      -------
B:                                    --------"	"C:                                 ------
B:                          ---------------"
No A are B. Some C are B.	Some C are not A.	entailment	symbolic	no	2	euler_1_EI2	EIO	A ∩ B = ∅	C ∩ B ≠ ∅	"A:                      -------
B:                                    --------"	"C:                        -----x----
B:                           --x---------"
All B are A. All C are B.	All C are A.	entailment	symbolic	no	1	euler_1_AA1	AAA	B ⊆ A	C ⊆ B	"B:                                 ------
A:                          ---------------"	"C:                                 ------
B:                          ---------------"
Some A are B. All B are C.	Some C are A.	entailment	symbolic	no	4	euler_1_IA4	IAI	A ∩ B ≠ ∅	B ⊆ C	"A:                        -----x----
B:                           --x---------"	"B:                                 ------
C:                          ---------------"
All B are A. Some C are B.	Some C are A.	entailment	symbolic	no	1	euler_1_AI1	AII	B ⊆ A	C ∩ B ≠ ∅	"B:                                 ------
A:                          ---------------"	"C:                        -----x----
B:                           --x---------"
Some A are not B. All B are C.	Some C are not A.	neutral	symbolic	yes	4	euler_1_OA4	OAO	A \ B ≠ ∅	B ⊆ C	"A:                        --x-------
B:                                 -----------"	"B:                                 ------
C:                          ---------------"
Some A are not B. All C are B.	Some C are A.	neutral	symbolic	no	2	euler_1_OA2	OAI	A \ B ≠ ∅	C ⊆ B	"A:                        --x-------
B:                                 -----------"	"C:                                 ------
B:                          ---------------"
Some A are B. All B are C.	Some C are not A.	neutral	symbolic	no	4	euler_1_IA4	IAO	A ∩ B ≠ ∅	B ⊆ C	"A:                        -----x----
B:                           --x---------"	"B:                                 ------
C:                          ---------------"
No A are B. All C are B.	All C are A.	neutral	symbolic	no	2	euler_1_EA2	EAA	A ∩ B = ∅	C ⊆ B	"A:                      -------
B:                                    --------"	"C:                                 ------
B:                          ---------------"
All B are A. Some C are not B.	Some C are not A.	neutral	symbolic	yes	1	euler_1_AO1	AOO	B ⊆ A	C \ B ≠ ∅	"B:                                 ------
A:                          ---------------"	"C:                        --x-------
B:                                 -----------"
All A are B. Some C are B.	No C are A.	neutral	symbolic	no	2	euler_1_AI2	AIE	A ⊆ B	C ∩ B ≠ ∅	"A:                                 ------
B:                          ---------------"	"C:                        -----x----
B:                           --x---------"
All A are B. No B are C.	All C are A.	neutral	symbolic	no	4	euler_1_AE4	AEA	A ⊆ B	B ∩ C = ∅	"A:                                 ------
B:                          ---------------"	"B:                      -------
C:                                    --------"
All A are B. Some B are C.	All C are A.	neutral	symbolic	no	4	euler_1_AI4	AIA	A ⊆ B	B ∩ C ≠ ∅	"A:                                 ------
B:                          ---------------"	"B:                        -----x----
C:                           --x---------"
All A are B. Some B are not C.	Some C are not A.	neutral	symbolic	yes	4	euler_1_AO4	AOO	A ⊆ B	B \ C ≠ ∅	"A:                                 ------
B:                          ---------------"	"B:                        --x-------
C:                                 -----------"
Some B are not A. All C are B.	Some C are not A.	neutral	symbolic	yes	1	euler_1_OA1	OAO	B \ A ≠ ∅	C ⊆ B	"B:                        --x-------
A:                                 -----------"	"C:                                 ------
B:                          ---------------"
All A are B. Some B are not C.	No C are A.	neutral	symbolic	no	4	euler_1_AO4	AOE	A ⊆ B	B \ C ≠ ∅	"A:                                 ------
B:                          ---------------"	"B:                        --x-------
C:                                 -----------"
All B are A. Some B are C.	Some C are not A.	neutral	symbolic	no	3	euler_1_AI3	AIO	B ⊆ A	B ∩ C ≠ ∅	"B:                                 ------
A:                          ---------------"	"B:                        -----x----
C:                           --x---------"
Some A are not B. All C are B.	No C are A.	neutral	symbolic	no	2	euler_1_OA2	OAE	A \ B ≠ ∅	C ⊆ B	"A:                        --x-------
B:                                 -----------"	"C:                                 ------
B:                          ---------------"
All B are A. No B are C.	No C are A.	neutral	symbolic	yes	3	euler_1_AE3	AEE	B ⊆ A	B ∩ C = ∅	"B:                                 ------
A:                          ---------------"	"B:                      -------
C:                                    --------"
Some A are not B. All B are C.	No C are A.	neutral	symbolic	no	4	euler_1_OA4	OAE	A \ B ≠ ∅	B ⊆ C	"A:                        --x-------
B:                                 -----------"	"B:                                 ------
C:                          ---------------"
All dogs are animals. No animals are robots.	Some robots are dogs.	contradiction	congruent	no	4	euler_3_AE4	AEI	dogs ⊆ animals	animals ∩ robots = ∅	"dogs:                              ------
animals:                    ---------------"	"animals:                -------
robots:                               --------"
No shark are tuna. Some fish are shark.	All fish are tuna.	contradiction	congruent	no	1	euler_22_EI1	EIA	shark ∩ tuna = ∅	fish ∩ shark ≠ ∅	"shark:                  -------
tuna:                                 --------"	"fish:                     -----x----
shark:                       --x---------"
No females are males. Some males are students.	All students are females.	contradiction	congruent	no	4	euler_16_EI4	EIA	females ∩ males = ∅	males ∩ students ≠ ∅	"females:                -------
males:                                --------"	"males:                    -----x----
students:                    --x---------"
Some trees are plants. All plants are living things.	No living things are trees.	contradiction	congruent	no	4	euler_13_IA4	IAE	trees ∩ plants ≠ ∅	plants ⊆ living things	"trees:                    -----x----
plants:                      --x---------"	"plants:                            ------
living things:              ---------------"
All sparrows are birds. No birds are stones.	Some stones are sparrows.	contradiction	congruent	no	4	euler_7_AE4	AEI	sparrows ⊆ birds	birds ∩ stones = ∅	"sparrows:                          ------
birds:                      ---------------"	"birds:                  -------
stones:                               --------"
Some liquor are beer. All liquor are drink.	No drink are beer.	contradiction	congruent	no	3	euler_17_IA3	IAE	liquor ∩ beer ≠ ∅	liquor ⊆ drink	"liquor:                   -----x----
beer:                        --x---------"	"liquor:                            ------
drink:                      ---------------"
Some plants are trees. All plants are living things.	No living things are trees.	contradiction	congruent	no	3	euler_13_IA3	IAE	plants ∩ trees ≠ ∅	plants ⊆ living things	"plants:                   -----x----
trees:                       --x---------"	"plants:                            ------
living things:              ---------------"
All baseball players are athletes. Some human beings are not athletes.	All human beings are baseball players.	contradiction	congruent	no	2	euler_10_AO2	AOA	baseball players ⊆ athletes	human beings \ athletes ≠ ∅	"baseball players:                  ------
athletes:                   ---------------"	"human beings:             --x-------
athletes:                          -----------"
No females are males. Some students are males.	All students are females.	contradiction	congruent	no	2	euler_16_EI2	EIA	females ∩ males = ∅	students ∩ males ≠ ∅	"females:                -------
males:                                --------"	"students:                 -----x----
males:                       --x---------"
All fruits are foods. No foods are stones.	Some stones are fruits.	contradiction	congruent	no	4	euler_2_AE4	AEI	fruits ⊆ foods	foods ∩ stones = ∅	"fruits:                            ------
foods:                      ---------------"	"foods:                  -------
stones:                               --------"
No shark are tuna. Some shark are fish.	All fish are tuna.	contradiction	congruent	no	3	euler_22_EI3	EIA	shark ∩ tuna = ∅	shark ∩ fish ≠ ∅	"shark:                  -------
tuna:                                 --------"	"shark:                    -----x----
fish:                        --x---------"
No males are females. Some males are students.	All students are females.	contradiction	congruent	no	3	euler_16_EI3	EIA	males ∩ females = ∅	males ∩ students ≠ ∅	"males:                  -------
females:                              --------"	"males:                    -----x----
students:                    --x---------"
All dogs are animals. No robots are animals.	Some robots are dogs.	contradiction	congruent	no	2	euler_3_AE2	AEI	dogs ⊆ animals	robots ∩ animals = ∅	"dogs:                              ------
animals:                    ---------------"	"robots:                 -------
animals:                              --------"
All sparrows are birds. No stones are birds.	Some stones are sparrows.	contradiction	congruent	no	2	euler_7_AE2	AEI	sparrows ⊆ birds	stones ∩ birds = ∅	"sparrows:                          ------
birds:                      ---------------"	"stones:                 -------
birds:                                --------"
Some beer are liquor. All liquor are drink.	No drink are beer.	contradiction	congruent	no	4	euler_17_IA4	IAE	beer ∩ liquor ≠ ∅	liquor ⊆ drink	"beer:                     -----x----
liquor:                      --x---------"	"liquor:                            ------
drink:                      ---------------"
All beer are liquor. Some drink are not liquor.	All drink are beer.	contradiction	congruent	no	2	euler_17_AO2	AOA	beer ⊆ liquor	drink \ liquor ≠ ∅	"beer:                              ------
liquor:                     ---------------"	"drink:                    --x-------
liquor:                            -----------"
Some tomatoes are vegetables. All tomatoes are plants.	No plants are vegetables.	contradiction	congruent	no	3	euler_20_IA3	IAE	tomatoes ∩ vegetables ≠ ∅	tomatoes ⊆ plants	"tomatoes:                 -----x----
vegetables:                  --x---------"	"tomatoes:                          ------
plants:                     ---------------"
Some shark are not tuna. All shark are fish.	All fish are tuna.	contradiction	congruent	no	3	euler_22_OA3	OAA	shark \ tuna ≠ ∅	shark ⊆ fish	"shark:                    --x-------
tuna:                              -----------"	"shark:                             ------
fish:                       ---------------"
Some vegetables are tomatoes. All tomatoes are plants.	No plants are vegetables.	contradiction	congruent	no	4	euler_20_IA4	IAE	vegetables ∩ tomatoes ≠ ∅	tomatoes ⊆ plants	"vegetables:               -----x----
tomatoes:                    --x---------"	"tomatoes:                          ------
plants:                     ---------------"
All sparrows are birds. Some stones are not birds.	All stones are sparrows.	contradiction	congruent	no	2	euler_7_AO2	AOA	sparrows ⊆ birds	stones \ birds ≠ ∅	"sparrows:                          ------
birds:                      ---------------"	"stones:                   --x-------
birds:                             -----------"
All fruits are foods. No stones are foods.	Some stones are fruits.	contradiction	congruent	no	2	euler_2_AE2	AEI	fruits ⊆ foods	stones ∩ foods = ∅	"fruits:                            ------
foods:                      ---------------"	"stones:                 -------
foods:                                --------"
No tuna are shark. Some fish are shark.	All fish are tuna.	contradiction	congruent	no	2	euler_22_EI2	EIA	tuna ∩ shark = ∅	fish ∩ shark ≠ ∅	"tuna:                   -------
shark:                                --------"	"fish:                     -----x----
shark:                       --x---------"
All fruits are foods. Some stones are not foods.	All stones are fruits.	contradiction	congruent	no	2	euler_2_AO2	AOA	fruits ⊆ foods	stones \ foods ≠ ∅	"fruits:                            ------
foods:                      ---------------"	"stones:                   --x-------
foods:                             -----------"
All pigeons are birds. No birds are cats.	Some cats are pigeons.	contradiction	congruent	no	4	euler_9_AE4	AEI	pigeons ⊆ birds	birds ∩ cats = ∅	"pigeons:                           ------
birds:                      ---------------"	"birds:                  -------
cats:                                 --------"
All vegetables are tomatoes. Some plants are not tomatoes.	All plants are vegetables.	contradiction	congruent	no	2	euler_20_AO2	AOA	vegetables ⊆ tomatoes	plants \ tomatoes ≠ ∅	"vegetables:                        ------
tomatoes:                   ---------------"	"plants:                   --x-------
tomatoes:                          -----------"
All pigeons are birds. No cats are birds.	Some cats are pigeons.	contradiction	congruent	no	2	euler_9_AE2	AEI	pigeons ⊆ birds	cats ∩ birds = ∅	"pigeons:                           ------
birds:                      ---------------"	"cats:                   -------
birds:                                --------"
Some athletes are baseball players. All athletes are human beings.	No human beings are baseball players.	contradiction	congruent	no	3	euler_10_IA3	IAE	athletes ∩ baseball players ≠ ∅	athletes ⊆ human beings	"athletes:                 -----x----
baseball players:            --x---------"	"athletes:                          ------
human beings:               ---------------"
Some baseball players are athletes. All athletes are human beings.	No human beings are baseball players.	contradiction	congruent	no	4	euler_10_IA4	IAE	baseball players ∩ athletes ≠ ∅	athletes ⊆ human beings	"baseball players:         -----x----
athletes:                    --x---------"	"athletes:                          ------
human beings:               ---------------"
All tomatoes are plants. Some animals are not plants.	All animals are tomatoes.	contradiction	congruent	no	2	euler_11_AO2	AOA	tomatoes ⊆ plants	animals \ plants ≠ ∅	"tomatoes:                          ------
plants:                     ---------------"	"animals:                  --x-------
plants:                            -----------"
Some plants are not trees. All plants are living things.	All living things are trees.	contradiction	congruent	no	3	euler_13_OA3	OAA	plants \ trees ≠ ∅	plants ⊆ living things	"plants:                   --x-------
trees:                             -----------"	"plants:                            ------
living things:              ---------------"
Some athletes are not baseball players. All athletes are human beings.	All human beings are baseball players.	contradiction	congruent	no	3	euler_10_OA3	OAA	athletes \ baseball players ≠ ∅	athletes ⊆ human beings	"athletes:                 --x-------
baseball players:                  -----------"	"athletes:                          ------
human beings:               ---------------"
Some liquor are not beer. All liquor are drink.	All drink are beer.	contradiction	congruent	no	3	euler_17_OA3	OAA	liquor \ beer ≠ ∅	liquor ⊆ drink	"liquor:                   --x-------
beer:                              -----------"	"liquor:                            ------
drink:                      ---------------"
All tomatoes are plants. No animals are plants.	Some animals are tomatoes.	contradiction	congruent	no	2	euler_11_AE2	AEI	tomatoes ⊆ plants	animals ∩ plants = ∅	"tomatoes:                          ------
plants:                     ---------------"	"animals:                -------
plants:                               --------"
No males are females. Some students are males.	All students are females.	contradiction	congruent	no	1	euler_16_EI1	EIA	males ∩ females = ∅	students ∩ males ≠ ∅	"males:                  -------
females:                              --------"	"students:                 -----x----
males:                       --x---------"
No tuna are shark. Some shark are fish.	All fish are tuna.	contradiction	congruent	no	4	euler_22_EI4	EIA	tuna ∩ shark = ∅	shark ∩ fish ≠ ∅	"tuna:                   -------
shark:                                --------"	"shark:                    -----x----
fish:                        --x---------"
All trees are plants. Some living things are not plants.	All living things are trees.	contradiction	congruent	no	2	euler_13_AO2	AOA	trees ⊆ plants	living things \ plants ≠ ∅	"trees:                             ------
plants:                     ---------------"	"living things:            --x-------
plants:                            -----------"
All dogs are animals. Some robots are not animals.	All robots are dogs.	contradiction	congruent	no	2	euler_3_AO2	AOA	dogs ⊆ animals	robots \ animals ≠ ∅	"dogs:                              ------
animals:                    ---------------"	"robots:                   --x-------
animals:                           -----------"
Some tomatoes are not vegetables. All tomatoes are plants.	All plants are vegetables.	contradiction	congruent	no	3	euler_20_OA3	OAA	tomatoes \ vegetables ≠ ∅	tomatoes ⊆ plants	"tomatoes:                 --x-------
vegetables:                        -----------"	"tomatoes:                          ------
plants:                     ---------------"
All tomatoes are plants. No plants are animals.	Some animals are tomatoes.	contradiction	congruent	no	4	euler_11_AE4	AEI	tomatoes ⊆ plants	plants ∩ animals = ∅	"tomatoes:                          ------
plants:                     ---------------"	"plants:                 -------
animals:                              --------"
All pigeons are birds. Some cats are not birds.	All cats are pigeons.	contradiction	congruent	no	2	euler_9_AO2	AOA	pigeons ⊆ birds	cats \ birds ≠ ∅	"pigeons:                           ------
birds:                      ---------------"	"cats:                     --x-------
birds:                             -----------"
No females are males. Some students are males.	Some students are not females.	entailment	congruent	no	2	euler_16_EI2	EIO	females ∩ males = ∅	students ∩ males ≠ ∅	"females:                -------
males:                                --------"	"students:                 -----x----
males:                       --x---------"
All tomatoes are plants. No animals are plants.	No animals are tomatoes.	entailment	congruent	no	2	euler_11_AE2	AEE	tomatoes ⊆ plants	animals ∩ plants = ∅	"tomatoes:                          ------
plants:                     ---------------"	"animals:                -------
plants:                               --------"
No shark are tuna. Some fish are shark.	Some fish are not tuna.	entailment	congruent	no	1	euler_22_EI1	EIO	shark ∩ tuna = ∅	fish ∩ shark ≠ ∅	"shark:                  -------
tuna:                                 --------"	"fish:                     -----x----
shark:                       --x---------"
Some shark are not tuna. All shark are fish.	Some fish are not tuna.	entailment	congruent	no	3	euler_22_OA3	OAO	shark \ tuna ≠ ∅	shark ⊆ fish	"shark:                    --x-------
tuna:                              -----------"	"shark:                             ------
fish:                       ---------------"
All pigeons are birds. No cats are birds.	No cats are pigeons.	entailment	congruent	no	2	euler_9_AE2	AEE	pigeons ⊆ birds	cats ∩ birds = ∅	"pigeons:                           ------
birds:                      ---------------"	"cats:                   -------
birds:                                --------"
No tuna are shark. Some fish are shark.	Some fish are not tuna.	entailment	congruent	no	2	euler_22_EI2	EIO	tuna ∩ shark = ∅	fish ∩ shark ≠ ∅	"tuna:                   -------
shark:                                --------"	"fish:                     -----x----
shark:                       --x---------"
All beer are liquor. Some drink are not liquor.	Some drink are not beer.	entailment	congruent	no	2	euler_17_AO2	AOO	beer ⊆ liquor	drink \ liquor ≠ ∅	"beer:                              ------
liquor:                     ---------------"	"drink:                    --x-------
liquor:                            -----------"
Some tomatoes are not vegetables. All tomatoes are plants.	Some plants are not vegetables.	entailment	congruent	no	3	euler_20_OA3	OAO	tomatoes \ vegetables ≠ ∅	tomatoes ⊆ plants	"tomatoes:                 --x-------
vegetables:                        -----------"	"tomatoes:                          ------
plants:                     ---------------"
Some liquor are not beer. All liquor are drink.	Some drink are not beer.	entailment	congruent	no	3	euler_17_OA3	OAO	liquor \ beer ≠ ∅	liquor ⊆ drink	"liquor:                   --x-------
beer:                              -----------"	"liquor:                            ------
drink:                      ---------------"
Some plants are not trees. All plants are living things.	Some living things are not trees.	entailment	congruent	no	3	euler_13_OA3	OAO	plants \ trees ≠ ∅	plants ⊆ living things	"plants:                   --x-------
trees:                             -----------"	"plants:                            ------
living things:              ---------------"
Some plants are trees. All plants are living things.	Some living things are trees.	entailment	congruent	no	3	euler_13_IA3	IAI	plants ∩ trees ≠ ∅	plants ⊆ living things	"plants:                   -----x----
trees:                       --x---------"	"plants:                            ------
living things:              ---------------"
All pigeons are birds. Some cats are not birds.	Some cats are not pigeons.	entailment	congruent	no	2	euler_9_AO2	AOO	pigeons ⊆ birds	cats \ birds ≠ ∅	"pigeons:                           ------
birds:                      ---------------"	"cats:                     --x-------
birds:                             -----------"
All tomatoes are plants. Some animals are not plants.	Some animals are not tomatoes.	entailment	congruent	no	2	euler_11_AO2	AOO	tomatoes ⊆ plants	animals \ plants ≠ ∅	"tomatoes:                          ------
plants:                     ---------------"	"animals:                  --x-------
plants:                            -----------"
All baseball players are athletes. Some human beings are not athletes.	Some human beings are not baseball players.	entailment	congruent	no	2	euler_10_AO2	AOO	baseball players ⊆ athletes	human beings \ athletes ≠ ∅	"baseball players:                  ------
athletes:                   ---------------"	"human beings:             --x-------
athletes:                          -----------"
Some beer are liquor. All liquor are drink.	Some drink are beer.	entailment	congruent	no	4	euler_17_IA4	IAI	beer ∩ liquor ≠ ∅	liquor ⊆ drink	"beer:                     -----x----
liquor:                      --x---------"	"liquor:                            ------
drink:                      ---------------"
All trees are plants. Some living things are not plants.	Some living things are not trees.	entailment	congruent	no	2	euler_13_AO2	AOO	trees ⊆ plants	living things \ plants ≠ ∅	"trees:                             ------
plants:                     ---------------"	"living things:            --x-------
plants:                            -----------"
All dogs are animals. No robots are animals.	No robots are dogs.	entailment	congruent	no	2	euler_3_AE2	AEE	dogs ⊆ animals	robots ∩ animals = ∅	"dogs:                              ------
animals:                    ---------------"	"robots:                 -------
animals:                              --------"
Some trees are plants. All plants are living things.	Some living things are trees.	entailment	congruent	no	4	euler_13_IA4	IAI	trees ∩ plants ≠ ∅	plants ⊆ living things	"trees:                    -----x----
plants:                      --x---------"	"plants:                            ------
living things:              ---------------"
No shark are tuna. Some shark are fish.	Some fish are not tuna.	entailment	congruent	no	3	euler_22_EI3	EIO	shark ∩ tuna = ∅	shark ∩ fish ≠ ∅	"shark:                  -------
tuna:                                 --------"	"shark:                    -----x----
fish:                        --x---------"
Some athletes are baseball players. All athletes are human beings.	Some human beings are baseball players.	entailment	congruent	no	3	euler_10_IA3	IAI	athletes ∩ baseball players ≠ ∅	athletes ⊆ human beings	"athletes:                 -----x----
baseball players:            --x---------"	"athletes:                          ------
human beings:               ---------------"
Some vegetables are tomatoes. All tomatoes are plants.	Some plants are vegetables.	entailment	congruent	no	4	euler_20_IA4	IAI	vegetables ∩ tomatoes ≠ ∅	tomatoes ⊆ plants	"vegetables:               -----x----
tomatoes:                    --x---------"	"tomatoes:                          ------
plants:                     ---------------"
Some liquor are beer. All liquor are drink.	Some drink are beer.	entailment	congruent	no	3	euler_17_IA3	IAI	liquor ∩ beer ≠ ∅	liquor ⊆ drink	"liquor:                   -----x----
beer:                        --x---------"	"liquor:                            ------
drink:                      ---------------"
All pigeons are birds. No birds are cats.	No cats are pigeons.	entailment	congruent	no	4	euler_9_AE4	AEE	pigeons ⊆ birds	birds ∩ cats = ∅	"pigeons:                           ------
birds:                      ---------------"	"birds:                  -------
cats:                                 --------"
All fruits are foods. Some stones are not foods.	Some stones are not fruits.	entailment	congruent	no	2	euler_2_AO2	AOO	fruits ⊆ foods	stones \ foods ≠ ∅	"fruits:                            ------
foods:                      ---------------"	"stones:                   --x-------
foods:                             -----------"
Some athletes are not baseball players. All athletes are human beings.	Some human beings are not baseball players.	entailment	congruent	no	3	euler_10_OA3	OAO	athletes \ baseball players ≠ ∅	athletes ⊆ human beings	"athletes:                 --x-------
baseball players:                  -----------"	"athletes:                          ------
human beings:               ---------------"
All tomatoes are plants. No plants are animals.	No animals are tomatoes.	entailment	congruent	no	4	euler_11_AE4	AEE	tomatoes ⊆ plants	plants ∩ animals = ∅	"tomatoes:                          ------
plants:                     ---------------"	"plants:                 -------
animals:                              --------"
All sparrows are birds. No birds are stones.	No stones are sparrows.	entailment	congruent	no	4	euler_7_AE4	AEE	sparrows ⊆ birds	birds ∩ stones = ∅	"sparrows:                          ------
birds:                      ---------------"	"birds:                  -------
stones:                               --------"
No males are females. Some students are males.	Some students are not females.	entailment	congruent	no	1	euler_16_EI1	EIO	males ∩ females = ∅	students ∩ males ≠ ∅	"males:                  -------
females:                              --------"	"students:                 -----x----
males:                       --x---------"
All sparrows are birds. Some stones are not birds.	Some stones are not sparrows.	entailment	congruent	no	2	euler_7_AO2	AOO	sparrows ⊆ birds	stones \ birds ≠ ∅	"sparrows:                          ------
birds:                      ---------------"	"stones:                   --x-------
birds:                             -----------"
All vegetables are tomatoes. Some plants are not tomatoes.	Some plants are not vegetables.	entailment	congruent	no	2	euler_20_AO2	AOO	vegetables ⊆ tomatoes	plants \ tomatoes ≠ ∅	"vegetables:                        ------
tomatoes:                   ---------------"	"plants:                   --x-------
tomatoes:                          -----------"
Some baseball players are athletes. All athletes are human beings.	Some human beings are baseball players.	entailment	congruent	no	4	euler_10_IA4	IAI	baseball players ∩ athletes ≠ ∅	athletes ⊆ human beings	"baseball players:         -----x----
athletes:                    --x---------"	"athletes:                          ------
human beings:               ---------------"
All dogs are animals. No animals are robots.	No robots are dogs.	entailment	congruent	no	4	euler_3_AE4	AEE	dogs ⊆ animals	animals ∩ robots = ∅	"dogs:                              ------
animals:                    ---------------"	"animals:                -------
robots:                               --------"
All fruits are foods. No foods are stones.	No stones are fruits.	entailment	congruent	no	4	euler_2_AE4	AEE	fruits ⊆ foods	foods ∩ stones = ∅	"fruits:                            ------
foods:                      ---------------"	"foods:                  -------
stones:                               --------"
All fruits are foods. No stones are foods.	No stones are fruits.	entailment	congruent	no	2	euler_2_AE2	AEE	fruits ⊆ foods	stones ∩ foods = ∅	"fruits:                            ------
foods:                      ---------------"	"stones:                 -------
foods:                                --------"
No tuna are shark. Some shark are fish.	Some fish are not tuna.	entailment	congruent	no	4	euler_22_EI4	EIO	tuna ∩ shark = ∅	shark ∩ fish ≠ ∅	"tuna:                   -------
shark:                                --------"	"shark:                    -----x----
fish:                        --x---------"
