premises_en	hypothesis_en_1	hypothesis_en_2	hypothesis_en_3	hypothesis_en_4	hypothesis_en_5	mood_premises	figure	has-conclusion	gold	content-type	conversion	conversion-type	image_id	image_path	term1	term2	term3
Some A are not B. All B are C.	Some C are A.	none of them	All C are A.	No C are A.	Some C are not A.	OA	4	no	2	symbolic	yes	O	euler_1_OA4	images/euler_1_OA4.png	A	B	C
No tuna are shark. All shark are fish.	All fish are tuna.	No fish are tuna.	none of them	Some fish are tuna.	Some fish are not tuna.	EA	4	no	3	congruent	yes	A	euler_22_EA4	images/euler_22_EA4.png	tuna	shark	fish
All trumpets are instruments. Some instruments are string instruments.	none of them	Some string instruments are not trumpets.	All string instruments are trumpets.	Some string instruments are trumpets.	No string instruments are trumpets.	AI	4	no	1	congruent	yes	A	euler_14_AI4	images/euler_14_AI4.png	trumpets	instruments	string instruments
All trees are plants. Some living things are not plants.	none of them	Some living things are not trees.	All living things are trees.	Some living things are trees.	No living things are trees.	AO	2	yes	2	congruent	no	n/a	euler_13_AO2	images/euler_13_AO2.png	trees	plants	living things
All wicked people are human beings. Some human beings are thieves.	Some thieves are wicked people.	none of them	Some thieves are not wicked people.	No thieves are wicked people.	All thieves are wicked people.	AI	4	no	2	congruent	yes	A	euler_21_AI4	images/euler_21_AI4.png	wicked people	human beings	thieves
All pigeons are birds. Some cats are not birds.	Some cats are pigeons.	All cats are pigeons.	none of them	Some cats are not pigeons.	No cats are pigeons.	AO	2	yes	4	congruent	no	n/a	euler_9_AO2	images/euler_9_AO2.png	pigeons	birds	cats
Some plants are trees. All plants are living things.	No living things are trees.	All living things are trees.	Some living things are trees.	none of them	Some living things are not trees.	IA	3	yes	3	congruent	no	n/a	euler_13_IA3	images/euler_13_IA3.png	trees	plants	living things
All sparrows are birds. Some stones are not birds.	Some stones are sparrows.	All stones are sparrows.	none of them	No stones are sparrows.	Some stones are not sparrows.	AO	2	yes	5	congruent	no	n/a	euler_7_AO2	images/euler_7_AO2.png	sparrows	birds	stones
Some liquor are not beer. All liquor are drink.	Some drink are beer.	Some drink are not beer.	none of them	All drink are beer.	No drink are beer.	OA	3	yes	2	congruent	no	n/a	euler_17_OA3	images/euler_17_OA3.png	beer	liquor	drink
All fruits are foods. Some foods are not stones.	All stones are fruits.	No stones are fruits.	none of them	Some stones are fruits.	Some stones are not fruits.	AO	4	no	3	congruent	yes	O	euler_2_AO4	images/euler_2_AO4.png	fruits	foods	stones
All beer are liquor. Some drink are liquor.	All drink are beer.	Some drink are not beer.	No drink are beer.	none of them	Some drink are beer.	AI	2	no	4	congruent	yes	A	euler_17_AI2	images/euler_17_AI2.png	beer	liquor	drink
All human beings are mammals. Some mammals are not horses.	Some horses are not human beings.	none of them	All horses are human beings.	Some horses are human beings.	No horses are human beings.	AO	4	no	2	congruent	yes	O	euler_15_AO4	images/euler_15_AO4.png	human beings	mammals	horses
All trees are plants. Some living things are plants.	Some living things are trees.	none of them	Some living things are not trees.	All living things are trees.	No living things are trees.	AI	2	no	2	congruent	yes	A	euler_13_AI2	images/euler_13_AI2.png	trees	plants	living things
Some athletes are baseball players. All athletes are human beings.	No human beings are baseball players.	All human beings are baseball players.	none of them	Some human beings are baseball players.	Some human beings are not baseball players.	IA	3	yes	4	congruent	no	n/a	euler_10_IA3	images/euler_10_IA3.png	baseball players	athletes	human beings
All pigeons are birds. No birds are cats.	none of them	No cats are pigeons.	All cats are pigeons.	Some cats are pigeons.	Some cats are not pigeons.	AE	4	yes	2	congruent	no	n/a	euler_9_AE4	images/euler_9_AE4.png	pigeons	birds	cats
No males are females. Some students are males.	none of them	Some students are females.	All students are females.	No students are females.	Some students are not females.	EI	1	yes	5	congruent	no	n/a	euler_16_EI1	images/euler_16_EI1.png	females	males	students
All pigeons are birds. No cats are birds.	All cats are pigeons.	No cats are pigeons.	Some cats are not pigeons.	Some cats are pigeons.	none of them	AE	2	yes	2	congruent	no	n/a	euler_9_AE2	images/euler_9_AE2.png	pigeons	birds	cats
Some human beings are wicked people. All thieves are human beings.	Some thieves are not wicked people.	No thieves are wicked people.	All thieves are wicked people.	none of them	Some thieves are wicked people.	IA	1	no	4	congruent	yes	A	euler_21_IA1	images/euler_21_IA1.png	wicked people	human beings	thieves
All baseball players are athletes. Some athletes are human beings.	Some human beings are not baseball players.	none of them	No human beings are baseball players.	Some human beings are baseball players.	All human beings are baseball players.	AI	4	no	2	congruent	yes	A	euler_10_AI4	images/euler_10_AI4.png	baseball players	athletes	human beings
Some instruments are trumpets. All string instruments are instruments.	No string instruments are trumpets.	Some string instruments are trumpets.	none of them	All string instruments are trumpets.	Some string instruments are not trumpets.	IA	1	no	3	congruent	yes	A	euler_14_IA1	images/euler_14_IA1.png	trumpets	instruments	string instruments
All human beings are mammals. All horses are mammals.	none of them	No horses are human beings.	Some horses are not human beings.	Some horses are human beings.	All horses are human beings.	AA	2	no	1	congruent	yes	A	euler_15_AA2	images/euler_15_AA2.png	human beings	mammals	horses
All dogs are animals. No animals are robots.	Some robots are not dogs.	Some robots are dogs.	none of them	No robots are dogs.	All robots are dogs.	AE	4	yes	4	congruent	no	n/a	euler_3_AE4	images/euler_3_AE4.png	dogs	animals	robots
All wicked people are human beings. All thieves are human beings.	All thieves are wicked people.	none of them	No thieves are wicked people.	Some thieves are wicked people.	Some thieves are not wicked people.	AA	2	no	2	congruent	yes	A	euler_21_AA2	images/euler_21_AA2.png	wicked people	human beings	thieves
Some tomatoes are not vegetables. All tomatoes are plants.	none of them	Some plants are vegetables.	No plants are vegetables.	All plants are vegetables.	Some plants are not vegetables.	OA	3	yes	5	congruent	no	n/a	euler_20_OA3	images/euler_20_OA3.png	vegetables	tomatoes	plants
All beer are liquor. Some liquor are drink.	No drink are beer.	All drink are beer.	none of them	Some drink are not beer.	Some drink are beer.	AI	4	no	3	congruent	yes	A	euler_17_AI4	images/euler_17_AI4.png	beer	liquor	drink
All trumpets are instruments. Some string instruments are instruments.	No string instruments are trumpets.	Some string instruments are not trumpets.	none of them	Some string instruments are trumpets.	All string instruments are trumpets.	AI	2	no	3	congruent	yes	A	euler_14_AI2	images/euler_14_AI2.png	trumpets	instruments	string instruments
All pigeons are birds. Some birds are not cats.	Some cats are pigeons.	All cats are pigeons.	No cats are pigeons.	none of them	Some cats are not pigeons.	AO	4	no	4	congruent	yes	O	euler_9_AO4	images/euler_9_AO4.png	pigeons	birds	cats
All fruits are foods. No stones are foods.	No stones are fruits.	Some stones are not fruits.	none of them	All stones are fruits.	Some stones are fruits.	AE	2	yes	1	congruent	no	n/a	euler_2_AE2	images/euler_2_AE2.png	fruits	foods	stones
No females are males. Some students are males.	Some students are not females.	All students are females.	Some students are females.	No students are females.	none of them	EI	2	yes	1	congruent	no	n/a	euler_16_EI2	images/euler_16_EI2.png	females	males	students
All tomatoes are plants. No plants are animals.	none of them	All animals are tomatoes.	No animals are tomatoes.	Some animals are not tomatoes.	Some animals are tomatoes.	AE	4	yes	3	congruent	no	n/a	euler_11_AE4	images/euler_11_AE4.png	tomatoes	plants	animals
Some beer are liquor. All liquor are drink.	Some drink are not beer.	All drink are beer.	none of them	No drink are beer.	Some drink are beer.	IA	4	yes	5	congruent	no	n/a	euler_17_IA4	images/euler_17_IA4.png	beer	liquor	drink
All dogs are animals. Some animals are not robots.	All robots are dogs.	Some robots are not dogs.	Some robots are dogs.	No robots are dogs.	none of them	AO	4	no	5	congruent	yes	O	euler_3_AO4	images/euler_3_AO4.png	dogs	animals	robots
All baseball players are athletes. Some human beings are not athletes.	No human beings are baseball players.	All human beings are baseball players.	none of them	Some human beings are baseball players.	Some human beings are not baseball players.	AO	2	yes	5	congruent	no	n/a	euler_10_AO2	images/euler_10_AO2.png	baseball players	athletes	human beings
No shark are tuna. Some shark are fish.	Some fish are tuna.	All fish are tuna.	Some fish are not tuna.	No fish are tuna.	none of them	EI	3	yes	3	congruent	no	n/a	euler_22_EI3	images/euler_22_EI3.png	tuna	shark	fish
No shark are tuna. Some fish are shark.	none of them	No fish are tuna.	All fish are tuna.	Some fish are tuna.	Some fish are not tuna.	EI	1	yes	5	congruent	no	n/a	euler_22_EI1	images/euler_22_EI1.png	tuna	shark	fish
All baseball players are athletes. Some human beings are athletes.	none of them	Some human beings are baseball players.	Some human beings are not baseball players.	All human beings are baseball players.	No human beings are baseball players.	AI	2	no	1	congruent	yes	A	euler_10_AI2	images/euler_10_AI2.png	baseball players	athletes	human beings
Some baseball players are athletes. All athletes are human beings.	Some human beings are baseball players.	Some human beings are not baseball players.	No human beings are baseball players.	All human beings are baseball players.	none of them	IA	4	yes	1	congruent	no	n/a	euler_10_IA4	images/euler_10_IA4.png	baseball players	athletes	human beings
Some shark are not tuna. All shark are fish.	No fish are tuna.	Some fish are tuna.	All fish are tuna.	Some fish are not tuna.	none of them	OA	3	yes	4	congruent	no	n/a	euler_22_OA3	images/euler_22_OA3.png	tuna	shark	fish
Some athletes are not baseball players. All athletes are human beings.	Some human beings are baseball players.	Some human beings are not baseball players.	none of them	No human beings are baseball players.	All human beings are baseball players.	OA	3	yes	2	congruent	no	n/a	euler_10_OA3	images/euler_10_OA3.png	baseball players	athletes	human beings
Some tuna are not shark. All shark are fish.	none of them	Some fish are not tuna.	All fish are tuna.	No fish are tuna.	Some fish are tuna.	OA	4	no	1	congruent	yes	O	euler_22_OA4	images/euler_22_OA4.png	tuna	shark	fish
All beer are liquor. Some drink are not liquor.	Some drink are not beer.	All drink are beer.	No drink are beer.	Some drink are beer.	none of them	AO	2	yes	1	congruent	no	n/a	euler_17_AO2	images/euler_17_AO2.png	beer	liquor	drink
Some instruments are not trumpets. All string instruments are instruments.	Some string instruments are trumpets.	All string instruments are trumpets.	No string instruments are trumpets.	none of them	Some string instruments are not trumpets.	OA	1	no	4	congruent	yes	A	euler_14_OA1	images/euler_14_OA1.png	trumpets	instruments	string instruments
All trees are plants. Some plants are living things.	none of them	No living things are trees.	Some living things are trees.	All living things are trees.	Some living things are not trees.	AI	4	no	1	congruent	yes	A	euler_13_AI4	images/euler_13_AI4.png	trees	plants	living things
Some liquor are beer. All liquor are drink.	Some drink are not beer.	none of them	All drink are beer.	No drink are beer.	Some drink are beer.	IA	3	yes	5	congruent	no	n/a	euler_17_IA3	images/euler_17_IA3.png	beer	liquor	drink
All fruits are foods. Some stones are not foods.	Some stones are fruits.	No stones are fruits.	none of them	Some stones are not fruits.	All stones are fruits.	AO	2	yes	4	congruent	no	n/a	euler_2_AO2	images/euler_2_AO2.png	fruits	foods	stones
All vegetables are tomatoes. All tomatoes are plants.	none of them	No plants are vegetables.	Some plants are not vegetables.	All plants are vegetables.	Some plants are vegetables.	AA	4	no	1	congruent	yes	A	euler_20_AA4	images/euler_20_AA4.png	vegetables	tomatoes	plants
Some tomatoes are vegetables. All tomatoes are plants.	All plants are vegetables.	Some plants are not vegetables.	No plants are vegetables.	none of them	Some plants are vegetables.	IA	3	yes	5	congruent	no	n/a	euler_20_IA3	images/euler_20_IA3.png	vegetables	tomatoes	plants
All human beings are mammals. Some horses are mammals.	All horses are human beings.	none of them	Some horses are not human beings.	Some horses are human beings.	No horses are human beings.	AI	2	no	2	congruent	yes	A	euler_15_AI2	images/euler_15_AI2.png	human beings	mammals	horses
Some human beings are not wicked people. All thieves are human beings.	No thieves are wicked people.	Some thieves are not wicked people.	Some thieves are wicked people.	All thieves are wicked people.	none of them	OA	1	no	5	congruent	yes	A	euler_21_OA1	images/euler_21_OA1.png	wicked people	human beings	thieves
All tomatoes are plants. Some animals are not plants.	none of them	Some animals are tomatoes.	No animals are tomatoes.	All animals are tomatoes.	Some animals are not tomatoes.	AO	2	yes	5	congruent	no	n/a	euler_11_AO2	images/euler_11_AO2.png	tomatoes	plants	animals
All fruits are foods. No foods are stones.	No stones are fruits.	All stones are fruits.	Some stones are not fruits.	none of them	Some stones are fruits.	AE	4	yes	1	congruent	no	n/a	euler_2_AE4	images/euler_2_AE4.png	fruits	foods	stones
Some mammals are not human beings. All horses are mammals.	Some horses are not human beings.	All horses are human beings.	none of them	No horses are human beings.	Some horses are human beings.	OA	1	no	3	congruent	yes	A	euler_15_OA1	images/euler_15_OA1.png	human beings	mammals	horses
All sparrows are birds. No stones are birds.	Some stones are not sparrows.	No stones are sparrows.	none of them	All stones are sparrows.	Some stones are sparrows.	AE	2	yes	2	congruent	no	n/a	euler_7_AE2	images/euler_7_AE2.png	sparrows	birds	stones
All wicked people are human beings. Some human beings are not thieves.	No thieves are wicked people.	none of them	Some thieves are not wicked people.	Some thieves are wicked people.	All thieves are wicked people.	AO	4	no	2	congruent	yes	O	euler_21_AO4	images/euler_21_AO4.png	wicked people	human beings	thieves
No males are females. Some males are students.	none of them	All students are females.	No students are females.	Some students are females.	Some students are not females.	EI	3	yes	5	congruent	no	n/a	euler_16_EI3	images/euler_16_EI3.png	females	males	students
Some wicked people are human beings. All thieves are human beings.	none of them	Some thieves are wicked people.	No thieves are wicked people.	Some thieves are not wicked people.	All thieves are wicked people.	IA	2	no	1	congruent	yes	A	euler_21_IA2	images/euler_21_IA2.png	wicked people	human beings	thieves
No tuna are shark. Some fish are shark.	none of them	Some fish are tuna.	Some fish are not tuna.	All fish are tuna.	No fish are tuna.	EI	2	yes	3	congruent	no	n/a	euler_22_EI2	images/euler_22_EI2.png	tuna	shark	fish
Some vegetables are tomatoes. All tomatoes are plants.	No plants are vegetables.	All plants are vegetables.	none of them	Some plants are vegetables.	Some plants are not vegetables.	IA	4	yes	4	congruent	no	n/a	euler_20_IA4	images/euler_20_IA4.png	vegetables	tomatoes	plants
All sparrows are birds. Some birds are not stones.	No stones are sparrows.	Some stones are not sparrows.	Some stones are sparrows.	none of them	All stones are sparrows.	AO	4	no	4	congruent	yes	O	euler_7_AO4	images/euler_7_AO4.png	sparrows	birds	stones
No females are males. Some males are students.	All students are females.	none of them	No students are females.	Some students are females.	Some students are not females.	EI	4	yes	5	congruent	no	n/a	euler_16_EI4	images/euler_16_EI4.png	females	males	students
All vegetables are tomatoes. Some tomatoes are plants.	No plants are vegetables.	All plants are vegetables.	none of them	Some plants are vegetables.	Some plants are not vegetables.	AI	4	no	3	congruent	yes	A	euler_20_AI4	images/euler_20_AI4.png	vegetables	tomatoes	plants
All vegetables are tomatoes. Some plants are tomatoes.	Some plants are not vegetables.	All plants are vegetables.	none of them	Some plants are vegetables.	No plants are vegetables.	AI	2	no	3	congruent	yes	A	euler_20_AI2	images/euler_20_AI2.png	vegetables	tomatoes	plants
All beer are liquor. All liquor are drink.	Some drink are beer.	Some drink are not beer.	No drink are beer.	none of them	All drink are beer.	AA	4	no	4	congruent	yes	A	euler_17_AA4	images/euler_17_AA4.png	beer	liquor	drink
All trees are plants. All plants are living things.	Some living things are not trees.	All living things are trees.	none of them	No living things are trees.	Some living things are trees.	AA	4	no	3	congruent	yes	A	euler_13_AA4	images/euler_13_AA4.png	trees	plants	living things
All trumpets are instruments. Some instruments are not string instruments.	Some string instruments are trumpets.	No string instruments are trumpets.	Some string instruments are not trumpets.	All string instruments are trumpets.	none of them	AO	4	no	5	congruent	yes	O	euler_14_AO4	images/euler_14_AO4.png	trumpets	instruments	string instruments
All dogs are animals. Some robots are not animals.	Some robots are not dogs.	none of them	All robots are dogs.	No robots are dogs.	Some robots are dogs.	AO	2	yes	1	congruent	no	n/a	euler_3_AO2	images/euler_3_AO2.png	dogs	animals	robots
All tomatoes are plants. Some plants are not animals.	All animals are tomatoes.	Some animals are tomatoes.	No animals are tomatoes.	Some animals are not tomatoes.	none of them	AO	4	no	5	congruent	yes	O	euler_11_AO4	images/euler_11_AO4.png	tomatoes	plants	animals
Some plants are not trees. All plants are living things.	Some living things are trees.	Some living things are not trees.	All living things are trees.	none of them	No living things are trees.	OA	3	yes	2	congruent	no	n/a	euler_13_OA3	images/euler_13_OA3.png	trees	plants	living things
All vegetables are tomatoes. Some plants are not tomatoes.	none of them	All plants are vegetables.	No plants are vegetables.	Some plants are not vegetables.	Some plants are vegetables.	AO	2	yes	4	congruent	no	n/a	euler_20_AO2	images/euler_20_AO2.png	vegetables	tomatoes	plants
All dogs are animals. No robots are animals.	No robots are dogs.	Some robots are not dogs.	All robots are dogs.	Some robots are dogs.	none of them	AE	2	yes	1	congruent	no	n/a	euler_3_AE2	images/euler_3_AE2.png	dogs	animals	robots
Some human beings are mammals. All horses are mammals.	Some horses are not human beings.	No horses are human beings.	Some horses are human beings.	All horses are human beings.	none of them	IA	2	no	5	congruent	yes	A	euler_15_IA2	images/euler_15_IA2.png	human beings	mammals	horses
All tomatoes are plants. No animals are plants.	No animals are tomatoes.	Some animals are tomatoes.	none of them	Some animals are not tomatoes.	All animals are tomatoes.	AE	2	yes	1	congruent	no	n/a	euler_11_AE2	images/euler_11_AE2.png	tomatoes	plants	animals
Some trumpets are instruments. All string instruments are instruments.	No string instruments are trumpets.	All string instruments are trumpets.	Some string instruments are not trumpets.	none of them	Some string instruments are trumpets.	IA	2	no	4	congruent	yes	A	euler_14_IA2	images/euler_14_IA2.png	trumpets	instruments	string instruments
All wicked people are human beings. Some thieves are human beings.	Some thieves are wicked people.	none of them	Some thieves are not wicked people.	No thieves are wicked people.	All thieves are wicked people.	AI	2	no	2	congruent	yes	A	euler_21_AI2	images/euler_21_AI2.png	wicked people	human beings	thieves
No tuna are shark. Some shark are fish.	Some fish are tuna.	none of them	Some fish are not tuna.	All fish are tuna.	No fish are tuna.	EI	4	yes	3	congruent	no	n/a	euler_22_EI4	images/euler_22_EI4.png	tuna	shark	fish
Some trees are plants. All plants are living things.	No living things are trees.	Some living things are trees.	Some living things are not trees.	All living things are trees.	none of them	IA	4	yes	2	congruent	no	n/a	euler_13_IA4	images/euler_13_IA4.png	trees	plants	living things
All sparrows are birds. No birds are stones.	Some stones are not sparrows.	No stones are sparrows.	All stones are sparrows.	Some stones are sparrows.	none of them	AE	4	yes	2	congruent	no	n/a	euler_7_AE4	images/euler_7_AE4.png	sparrows	birds	stones
Some mammals are human beings. All horses are mammals.	All horses are human beings.	Some horses are human beings.	Some horses are not human beings.	No horses are human beings.	none of them	IA	1	no	5	congruent	yes	A	euler_15_IA1	images/euler_15_IA1.png	human beings	mammals	horses
All human beings are mammals. Some mammals are horses.	No horses are human beings.	Some horses are not human beings.	All horses are human beings.	none of them	Some horses are human beings.	AI	4	no	4	congruent	yes	A	euler_15_AI4	images/euler_15_AI4.png	human beings	mammals	horses
All baseball players are athletes. All athletes are human beings.	Some human beings are not baseball players.	Some human beings are baseball players.	none of them	No human beings are baseball players.	All human beings are baseball players.	AA	4	no	3	congruent	yes	A	euler_10_AA4	images/euler_10_AA4.png	baseball players	athletes	human beings
All trumpets are instruments. All string instruments are instruments.	Some string instruments are not trumpets.	All string instruments are trumpets.	No string instruments are trumpets.	Some string instruments are trumpets.	none of them	AA	2	no	5	congruent	yes	A	euler_14_AA2	images/euler_14_AA2.png	trumpets	instruments	string instruments
No shark are tuna. All shark are fish.	Some fish are tuna.	Some fish are not tuna.	All fish are tuna.	No fish are tuna.	none of them	EA	3	no	5	congruent	yes	A	euler_22_EA3	images/euler_22_EA3.png	tuna	shark	fish
All tomatoes are plants. All plants are animals.	No animals are tomatoes.	Some animals are not tomatoes.	Some animals are tomatoes.	none of them	All animals are tomatoes.	AA	4	no	4	incongruent	yes	A	euler_11_AA4	images/euler_11_AA4.png	tomatoes	plants	animals
Some trumpets are not instruments. All string instruments are instruments.	All string instruments are trumpets.	Some string instruments are trumpets.	none of them	Some string instruments are not trumpets.	No string instruments are trumpets.	OA	2	no	3	incongruent	yes	AO	euler_14_OA2	images/euler_14_OA2.png	trumpets	instruments	string instruments
No wicked people are human beings. All thieves are human beings.	Some thieves are wicked people.	Some thieves are not wicked people.	none of them	All thieves are wicked people.	No thieves are wicked people.	EA	2	yes	5	incongruent	no	n/a	euler_21_EA2	images/euler_21_EA2.png	wicked people	human beings	thieves
All trees are plants. No living things are plants.	none of them	Some living things are not trees.	No living things are trees.	Some living things are trees.	All living things are trees.	AE	2	yes	3	incongruent	no	n/a	euler_13_AE2	images/euler_13_AE2.png	trees	plants	living things
All crocodiles are birds. Some crocodiles are crows.	No crows are birds.	Some crows are not birds.	All crows are birds.	none of them	Some crows are birds.	AI	3	yes	5	incongruent	no	n/a	euler_6_AI3	images/euler_6_AI3.png	birds	crocodiles	crows
No liquid are metals. Some liquid are stones.	Some stones are metals.	none of them	All stones are metals.	No stones are metals.	Some stones are not metals.	EI	3	yes	5	incongruent	no	n/a	euler_18_EI3	images/euler_18_EI3.png	metals	liquid	stones
No baseball players are athletes. All athletes are human beings.	Some human beings are not baseball players.	No human beings are baseball players.	none of them	All human beings are baseball players.	Some human beings are baseball players.	EA	4	no	3	incongruent	yes	A	euler_10_EA4	images/euler_10_EA4.png	baseball players	athletes	human beings
All trumpets are instruments. Some string instruments are not instruments.	All string instruments are trumpets.	No string instruments are trumpets.	Some string instruments are not trumpets.	Some string instruments are trumpets.	none of them	AO	2	yes	3	incongruent	no	n/a	euler_14_AO2	images/euler_14_AO2.png	trumpets	instruments	string instruments
Some tomatoes are plants. All animals are plants.	Some animals are not tomatoes.	All animals are tomatoes.	Some animals are tomatoes.	No animals are tomatoes.	none of them	IA	2	no	5	incongruent	yes	A	euler_11_IA2	images/euler_11_IA2.png	tomatoes	plants	animals
Some water are not metals. All iron are water.	No iron are metals.	none of them	Some iron are metals.	Some iron are not metals.	All iron are metals.	OA	1	no	2	incongruent	yes	A	euler_19_OA1	images/euler_19_OA1.png	metals	water	iron
Some dogs are not animals. All animals are robots.	Some robots are not dogs.	Some robots are dogs.	none of them	No robots are dogs.	All robots are dogs.	OA	4	no	3	incongruent	yes	O	euler_3_OA4	images/euler_3_OA4.png	dogs	animals	robots
All plants are trees. Some living things are plants.	All living things are trees.	none of them	Some living things are not trees.	Some living things are trees.	No living things are trees.	AI	1	yes	4	incongruent	no	n/a	euler_13_AI1	images/euler_13_AI1.png	trees	plants	living things
